query_id,query_text,precision_at_5,recall_at_5,mrr_at_5,ndcg_at_5,precision_at_10,recall_at_10,mrr_at_10,ndcg_at_10,precision_at_20,recall_at_20,mrr_at_20,ndcg_at_20
query_000001,NeonFit women's dresses review,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000002,best smartphones,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000003,PureComfort Activewear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000004,BrainBoost Outdoor Toys,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000005,affordable cameras for everyday use,0.2,0.0196078431372549,1.0,0.20208310829219417,0.1,0.0196078431372549,1.0,0.15282202671858752,0.35,0.13725490196078433,1.0,0.32386150387331236
query_000006,PureBloom skincare review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000007,PureBite Baking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000008,BrainBoost Puzzles,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000009,DriveSafe Oils & Fluids,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000010,affordable tires for everyday use,0.4,0.0392156862745098,1.0,0.6844257426140997,0.2,0.0392156862745098,1.0,0.5175857101991203,0.1,0.0392156862745098,1.0,0.37464073677355975
query_000011,affordable oils & fluids for everyday use,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000012,TrailMaster Cycling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000013,ChefElite furniture review,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
