query_id,query_text,rank,item_id,bm25_score,relevance_grade
query_000001,NeonFit women's dresses review,1,item_000063,12.659110,2
query_000001,NeonFit women's dresses review,2,item_000080,12.659110,2
query_000001,NeonFit women's dresses review,3,item_000099,12.659110,2
query_000001,NeonFit women's dresses review,4,item_000107,12.659110,2
query_000001,NeonFit women's dresses review,5,item_000149,12.659110,2
query_000001,NeonFit women's dresses review,6,item_000206,12.659110,2
query_000001,NeonFit women's dresses review,7,item_000225,12.659110,2
query_000001,NeonFit women's dresses review,8,item_000250,12.659110,2
query_000001,NeonFit women's dresses review,9,item_000254,12.659110,2
query_000001,NeonFit women's dresses review,10,item_000263,12.659110,2
query_000001,NeonFit women's dresses review,11,item_000281,12.659110,2
query_000001,NeonFit women's dresses review,12,item_000292,12.659110,2
query_000001,NeonFit women's dresses review,13,item_000326,12.659110,2
query_000001,NeonFit women's dresses review,14,item_000330,12.659110,2
query_000001,NeonFit women's dresses review,15,item_000378,12.659110,2
query_000001,NeonFit women's dresses review,16,item_000388,12.659110,2
query_000001,NeonFit women's dresses review,17,item_000396,12.659110,2
query_000001,NeonFit women's dresses review,18,item_000412,12.659110,2
query_000001,NeonFit women's dresses review,19,item_000433,12.659110,2
query_000001,NeonFit women's dresses review,20,item_000467,12.659110,2
query_000002,best smartphones,1,item_000020,4.036109,2
query_000002,best smartphones,2,item_000102,4.036109,2
query_000002,best smartphones,3,item_000112,4.036109,2
query_000002,best smartphones,4,item_000209,4.036109,2
query_000002,best smartphones,5,item_000212,4.036109,2
query_000002,best smartphones,6,item_000223,4.036109,2
query_000002,best smartphones,7,item_000275,4.036109,2
query_000002,best smartphones,8,item_000299,4.036109,2
query_000002,best smartphones,9,item_000310,4.036109,2
query_000002,best smartphones,10,item_000323,4.036109,2
query_000002,best smartphones,11,item_000334,4.036109,2
query_000002,best smartphones,12,item_000343,4.036109,2
query_000002,best smartphones,13,item_000344,4.036109,2
query_000002,best smartphones,14,item_000346,4.036109,2
query_000002,best smartphones,15,item_000352,4.036109,2
query_000002,best smartphones,16,item_000355,4.036109,2
query_000002,best smartphones,17,item_000360,4.036109,2
query_000002,best smartphones,18,item_000362,4.036109,2
query_000002,best smartphones,19,item_000373,4.036109,2
query_000002,best smartphones,20,item_000385,4.036109,2
query_000004,BrainBoost Outdoor Toys,1,item_000028,8.175453,3
query_000004,BrainBoost Outdoor Toys,2,item_000120,8.175453,3
query_000004,BrainBoost Outdoor Toys,3,item_000141,8.175453,3
query_000004,BrainBoost Outdoor Toys,4,item_000163,8.175453,3
query_000004,BrainBoost Outdoor Toys,5,item_000285,8.175453,3
query_000004,BrainBoost Outdoor Toys,6,item_000315,8.175453,3
query_000004,BrainBoost Outdoor Toys,7,item_000390,8.175453,3
query_000004,BrainBoost Outdoor Toys,8,item_000427,8.175453,3
query_000004,BrainBoost Outdoor Toys,9,item_000448,8.175453,3
query_000004,BrainBoost Outdoor Toys,10,item_000454,8.175453,3
query_000004,BrainBoost Outdoor Toys,11,item_000021,8.120285,3
query_000004,BrainBoost Outdoor Toys,12,item_000059,8.120285,3
query_000004,BrainBoost Outdoor Toys,13,item_000124,8.120285,3
query_000004,BrainBoost Outdoor Toys,14,item_000222,8.120285,3
query_000004,BrainBoost Outdoor Toys,15,item_000227,8.120285,3
query_000004,BrainBoost Outdoor Toys,16,item_000245,8.120285,3
query_000004,BrainBoost Outdoor Toys,17,item_000248,8.120285,3
query_000004,BrainBoost Outdoor Toys,18,item_000300,8.120285,3
query_000004,BrainBoost Outdoor Toys,19,item_000370,8.120285,3
query_000004,BrainBoost Outdoor Toys,20,item_000392,8.120285,3
query_000005,affordable cameras for everyday use,1,item_000005,5.657967,1
query_000005,affordable cameras for everyday use,2,item_000487,5.657967,0
query_000005,affordable cameras for everyday use,3,item_000065,5.528050,0
query_000005,affordable cameras for everyday use,4,item_000405,5.528050,0
query_000005,affordable cameras for everyday use,5,item_000304,5.286780,0
query_000005,affordable cameras for everyday use,6,item_000029,5.174494,0
query_000005,affordable cameras for everyday use,7,item_000318,5.174494,0
query_000005,affordable cameras for everyday use,8,item_000082,4.964643,0
query_000005,affordable cameras for everyday use,9,item_000177,4.964643,0
query_000005,affordable cameras for everyday use,10,item_000361,4.964643,0
query_000005,affordable cameras for everyday use,11,item_000102,4.359151,1
query_000005,affordable cameras for everyday use,12,item_000117,4.359151,0
query_000005,affordable cameras for everyday use,13,item_000217,4.359151,0
query_000005,affordable cameras for everyday use,14,item_000228,4.359151,0
query_000005,affordable cameras for everyday use,15,item_000299,4.359151,1
query_000005,affordable cameras for everyday use,16,item_000310,4.359151,1
query_000005,affordable cameras for everyday use,17,item_000344,4.359151,1
query_000005,affordable cameras for everyday use,18,item_000121,4.325944,0
query_000005,affordable cameras for everyday use,19,item_000337,4.325944,1
query_000005,affordable cameras for everyday use,20,item_000015,4.229293,2
query_000006,PureBloom skincare review,1,item_000006,4.765976,2
query_000006,PureBloom skincare review,2,item_000098,4.765976,2
query_000006,PureBloom skincare review,3,item_000123,4.765976,2
query_000006,PureBloom skincare review,4,item_000144,4.765976,2
query_000006,PureBloom skincare review,5,item_000160,4.765976,2
query_000006,PureBloom skincare review,6,item_000182,4.765976,2
query_000006,PureBloom skincare review,7,item_000218,4.765976,2
query_000006,PureBloom skincare review,8,item_000226,4.765976,2
query_000006,PureBloom skincare review,9,item_000236,4.765976,2
query_000006,PureBloom skincare review,10,item_000273,4.765976,2
query_000006,PureBloom skincare review,11,item_000279,4.765976,2
query_000006,PureBloom skincare review,12,item_000293,4.765976,2
query_000006,PureBloom skincare review,13,item_000305,4.765976,2
query_000006,PureBloom skincare review,14,item_000333,4.765976,2
query_000006,PureBloom skincare review,15,item_000443,4.765976,2
query_000006,PureBloom skincare review,16,item_000485,4.765976,2
query_000006,PureBloom skincare review,17,item_000497,4.765976,2
query_000006,PureBloom skincare review,18,item_000500,4.765976,2
query_000006,PureBloom skincare review,19,item_000009,4.698380,2
query_000006,PureBloom skincare review,20,item_000173,4.698380,2
query_000008,BrainBoost Puzzles,1,item_000029,4.512491,2
query_000008,BrainBoost Puzzles,2,item_000032,4.512491,2
query_000008,BrainBoost Puzzles,3,item_000034,4.512491,2
query_000008,BrainBoost Puzzles,4,item_000044,4.512491,2
query_000008,BrainBoost Puzzles,5,item_000054,4.512491,2
query_000008,BrainBoost Puzzles,6,item_000074,4.512491,2
query_000008,BrainBoost Puzzles,7,item_000091,4.512491,2
query_000008,BrainBoost Puzzles,8,item_000106,4.512491,2
query_000008,BrainBoost Puzzles,9,item_000108,4.512491,2
query_000008,BrainBoost Puzzles,10,item_000115,4.512491,2
query_000008,BrainBoost Puzzles,11,item_000142,4.512491,2
query_000008,BrainBoost Puzzles,12,item_000145,4.512491,2
query_000008,BrainBoost Puzzles,13,item_000249,4.512491,2
query_000008,BrainBoost Puzzles,14,item_000302,4.512491,2
query_000008,BrainBoost Puzzles,15,item_000311,4.512491,2
query_000008,BrainBoost Puzzles,16,item_000318,4.512491,2
query_000008,BrainBoost Puzzles,17,item_000350,4.512491,2
query_000008,BrainBoost Puzzles,18,item_000365,4.512491,2
query_000008,BrainBoost Puzzles,19,item_000374,4.512491,2
query_000008,BrainBoost Puzzles,20,item_000375,4.512491,2
query_000009,DriveSafe Oils & Fluids,1,item_000011,13.044223,3
query_000009,DriveSafe Oils & Fluids,2,item_000071,13.044223,3
query_000009,DriveSafe Oils & Fluids,3,item_000128,13.044223,3
query_000009,DriveSafe Oils & Fluids,4,item_000143,13.044223,3
query_000009,DriveSafe Oils & Fluids,5,item_000171,13.044223,3
query_000009,DriveSafe Oils & Fluids,6,item_000178,13.044223,3
query_000009,DriveSafe Oils & Fluids,7,item_000184,13.044223,3
query_000009,DriveSafe Oils & Fluids,8,item_000186,13.044223,3
query_000009,DriveSafe Oils & Fluids,9,item_000192,13.044223,3
query_000009,DriveSafe Oils & Fluids,10,item_000268,13.044223,3
query_000009,DriveSafe Oils & Fluids,11,item_000278,13.044223,3
query_000009,DriveSafe Oils & Fluids,12,item_000288,13.044223,3
query_000009,DriveSafe Oils & Fluids,13,item_000296,13.044223,3
query_000009,DriveSafe Oils & Fluids,14,item_000342,13.044223,3
query_000009,DriveSafe Oils & Fluids,15,item_000348,13.044223,3
query_000009,DriveSafe Oils & Fluids,16,item_000363,13.044223,3
query_000009,DriveSafe Oils & Fluids,17,item_000406,13.044223,3
query_000009,DriveSafe Oils & Fluids,18,item_000444,13.044223,3
query_000009,DriveSafe Oils & Fluids,19,item_000477,13.044223,3
query_000009,DriveSafe Oils & Fluids,20,item_000489,13.044223,3
query_000010,affordable tires for everyday use,1,item_000005,5.657967,2
query_000010,affordable tires for everyday use,2,item_000487,5.657967,0
query_000010,affordable tires for everyday use,3,item_000065,5.528050,0
query_000010,affordable tires for everyday use,4,item_000405,5.528050,0
query_000010,affordable tires for everyday use,5,item_000304,5.286780,1
query_000010,affordable tires for everyday use,6,item_000029,5.174494,0
query_000010,affordable tires for everyday use,7,item_000318,5.174494,0
query_000010,affordable tires for everyday use,8,item_000082,4.964643,0
query_000010,affordable tires for everyday use,9,item_000177,4.964643,0
query_000010,affordable tires for everyday use,10,item_000361,4.964643,0
query_000010,affordable tires for everyday use,11,item_000102,4.359151,0
query_000010,affordable tires for everyday use,12,item_000117,4.359151,0
query_000010,affordable tires for everyday use,13,item_000217,4.359151,0
query_000010,affordable tires for everyday use,14,item_000228,4.359151,0
query_000010,affordable tires for everyday use,15,item_000299,4.359151,0
query_000010,affordable tires for everyday use,16,item_000310,4.359151,0
query_000010,affordable tires for everyday use,17,item_000344,4.359151,0
query_000010,affordable tires for everyday use,18,item_000121,4.325944,0
query_000010,affordable tires for everyday use,19,item_000337,4.325944,0
query_000010,affordable tires for everyday use,20,item_000015,4.229293,0
query_000011,affordable oils & fluids for everyday use,1,item_000304,13.632623,3
query_000011,affordable oils & fluids for everyday use,2,item_000354,11.932479,3
query_000011,affordable oils & fluids for everyday use,3,item_000409,11.932479,3
query_000011,affordable oils & fluids for everyday use,4,item_000488,11.932479,3
query_000011,affordable oils & fluids for everyday use,5,item_000039,9.847592,3
query_000011,affordable oils & fluids for everyday use,6,item_000132,9.847592,3
query_000011,affordable oils & fluids for everyday use,7,item_000307,9.847592,3
query_000011,affordable oils & fluids for everyday use,8,item_000339,9.847592,3
query_000011,affordable oils & fluids for everyday use,9,item_000452,9.847592,3
query_000011,affordable oils & fluids for everyday use,10,item_000011,8.483412,3
query_000011,affordable oils & fluids for everyday use,11,item_000071,8.483412,3
query_000011,affordable oils & fluids for everyday use,12,item_000128,8.483412,3
query_000011,affordable oils & fluids for everyday use,13,item_000143,8.483412,3
query_000011,affordable oils & fluids for everyday use,14,item_000171,8.483412,3
query_000011,affordable oils & fluids for everyday use,15,item_000178,8.483412,3
query_000011,affordable oils & fluids for everyday use,16,item_000184,8.483412,3
