query_id,query_text,bm25_result_count,semantic_result_count,candidate_union_count,candidate_intersection_count,result_count,precision_at_5,recall_at_5,mrr_at_5,ndcg_at_5,precision_at_10,recall_at_10,mrr_at_10,ndcg_at_10,precision_at_20,recall_at_20,mrr_at_20,ndcg_at_20
query_000001,NeonFit women's dresses review,50,100,100,50,20,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000002,best smartphones,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000003,PureComfort Activewear,0,100,100,0,20,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000004,BrainBoost Outdoor Toys,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000005,affordable cameras for everyday use,100,100,126,74,20,0.2,0.0196078431372549,0.5,0.12750024571574825,0.2,0.0392156862745098,0.5,0.14242397769830634,0.25,0.09803921568627451,0.5,0.1843333281182111
query_000006,PureBloom skincare review,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000007,PureBite Baking,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000008,BrainBoost Puzzles,50,100,100,50,20,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4285714285714286
query_000009,DriveSafe Oils & Fluids,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000010,affordable tires for everyday use,100,100,134,66,20,0.2,0.0196078431372549,0.5,0.38250073714724464,0.1,0.0196078431372549,0.5,0.2892598909735473,0.1,0.0392156862745098,0.5,0.2354131629915384
query_000011,affordable oils & fluids for everyday use,100,100,104,96,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000012,TrailMaster Cycling,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000013,ChefElite furniture review,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000014,affordable camping gear for everyday use,100,100,135,65,20,0.2,0.02,0.2,0.04373502583744727,0.1,0.02,0.2,0.028381039213873666,0.05,0.02,0.2,0.018316196023995295
query_000015,AdventureZone Board Games,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000016,ReadersGate Fiction,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000017,CleanShield Vitamins,0,100,100,0,20,0.8,0.08,1.0,0.6583626208346486,0.7,0.14,1.0,0.5903497593023685,0.85,0.34,1.0,0.7874052766904173
query_000018,best spices,50,100,100,50,20,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.4366401114579206
query_000019,best skincare,50,100,100,50,20,1.0,0.1,1.0,0.4285714285714285,1.0,0.2,1.0,0.4285714285714286,1.0,0.4,1.0,0.49365591602586256
query_000020,affordable puzzles for everyday use,100,100,121,79,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000021,best baking,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000022,affordable activewear for everyday use,100,100,150,50,20,1.0,0.09803921568627451,1.0,0.5958337834156117,0.8,0.1568627450980392,1.0,0.6001419506934432,0.5,0.19607843137254902,1.0,0.5464394229182564
query_000023,best tires,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000024,NovaDigital smartphones review,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000025,OrganicRoots beverages review,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000026,best fitness equipment,0,100,100,0,20,1.0,0.1,1.0,0.5181822849033656,1.0,0.2,1.0,0.5518406486177496,0.95,0.38,1.0,0.46251415004806623
query_000027,best air quality,100,100,114,86,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000028,best puzzles,0,100,100,0,20,1.0,0.1,1.0,0.6864231448093615,1.0,0.2,1.0,0.7523405950706065,1.0,0.4,1.0,0.7480561999533878
query_000029,FunCraft Puzzles,0,100,100,0,20,1.0,0.1,1.0,0.9026211001048624,1.0,0.2,1.0,0.8481064169964802,1.0,0.4,1.0,0.7369372182637275
query_000030,QuantumTech Laptops,0,100,100,0,20,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000031,CozyNest Furniture,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000032,HomeCraft Cookware,0,100,100,0,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000033,best organic,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000034,PureBite Organic,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000035,NatureScent Fragrance,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000036,SilkTouch makeup review,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000037,MechPro Tires,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000038,HomeCraft bedding review,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
query_000039,FitGear Pro Fitness Equipment,0,100,100,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_000040,AutoGuard car accessories review,0,100,100,0,20,1.0,0.09803921568627451,1.0,0.5958337834156117,1.0,0.19607843137254902,1.0,0.694355946562825,1.0,0.39215686274509803,1.0,0.7787676299523248
query_000041,best hair care,50,100,100,50,20,1.0,0.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,1.0
