query_id,query_text,rank,item_id,fusion_method,fusion_score,bm25_rank,semantic_rank,bm25_score,semantic_score,bm25_normalized_score,semantic_normalized_score,sources,relevance_grade
query_000001,NeonFit women's dresses review,1,item_000250,"Linear (0.5/0.5, min-max)",1.000000,8,1,12.659110,0.895494,1.000000,1.000000,"bm25,semantic",2
query_000001,NeonFit women's dresses review,2,item_000330,"Linear (0.5/0.5, min-max)",1.000000,14,2,12.659110,0.895494,1.000000,1.000000,"bm25,semantic",2
query_000001,NeonFit women's dresses review,3,item_000292,"Linear (0.5/0.5, min-max)",0.995562,12,3,12.659110,0.887710,1.000000,0.991124,"bm25,semantic",2
query_000001,NeonFit women's dresses review,4,item_000281,"Linear (0.5/0.5, min-max)",0.991909,11,4,12.659110,0.881304,1.000000,0.983819,"bm25,semantic",2
query_000001,NeonFit women's dresses review,5,item_000206,"Linear (0.5/0.5, min-max)",0.990733,6,5,12.659110,0.879241,1.000000,0.981466,"bm25,semantic",2
query_000001,NeonFit women's dresses review,6,item_000149,"Linear (0.5/0.5, min-max)",0.989679,5,6,12.659110,0.877391,1.000000,0.979357,"bm25,semantic",2
query_000001,NeonFit women's dresses review,7,item_000099,"Linear (0.5/0.5, min-max)",0.981898,3,9,12.659110,0.863744,1.000000,0.963795,"bm25,semantic",2
query_000001,NeonFit women's dresses review,8,item_000107,"Linear (0.5/0.5, min-max)",0.981898,4,10,12.659110,0.863744,1.000000,0.963795,"bm25,semantic",2
query_000001,NeonFit women's dresses review,9,item_000225,"Linear (0.5/0.5, min-max)",0.981898,7,11,12.659110,0.863744,1.000000,0.963795,"bm25,semantic",2
query_000001,NeonFit women's dresses review,10,item_000388,"Linear (0.5/0.5, min-max)",0.981898,16,12,12.659110,0.863744,1.000000,0.963795,"bm25,semantic",2
query_000001,NeonFit women's dresses review,11,item_000433,"Linear (0.5/0.5, min-max)",0.981898,19,13,12.659110,0.863744,1.000000,0.963795,"bm25,semantic",2
query_000001,NeonFit women's dresses review,12,item_000080,"Linear (0.5/0.5, min-max)",0.980277,2,14,12.659110,0.860902,1.000000,0.960555,"bm25,semantic",2
query_000001,NeonFit women's dresses review,13,item_000396,"Linear (0.5/0.5, min-max)",0.976200,17,18,12.659110,0.853752,1.000000,0.952401,"bm25,semantic",2
query_000001,NeonFit women's dresses review,14,item_000467,"Linear (0.5/0.5, min-max)",0.976200,20,19,12.659110,0.853752,1.000000,0.952401,"bm25,semantic",2
query_000001,NeonFit women's dresses review,15,item_000254,"Linear (0.5/0.5, min-max)",0.976103,9,20,12.659110,0.853581,1.000000,0.952206,"bm25,semantic",2
query_000001,NeonFit women's dresses review,16,item_000412,"Linear (0.5/0.5, min-max)",0.976103,18,21,12.659110,0.853581,1.000000,0.952206,"bm25,semantic",2
query_000001,NeonFit women's dresses review,17,item_000263,"Linear (0.5/0.5, min-max)",0.975046,10,22,12.659110,0.851727,1.000000,0.950092,"bm25,semantic",2
query_000001,NeonFit women's dresses review,18,item_000378,"Linear (0.5/0.5, min-max)",0.975046,15,23,12.659110,0.851727,1.000000,0.950092,"bm25,semantic",2
query_000001,NeonFit women's dresses review,19,item_000490,"Linear (0.5/0.5, min-max)",0.973740,21,25,12.659110,0.849437,1.000000,0.947481,"bm25,semantic",2
query_000001,NeonFit women's dresses review,20,item_000326,"Linear (0.5/0.5, min-max)",0.972516,13,30,12.659110,0.847290,1.000000,0.945032,"bm25,semantic",2
query_000002,best smartphones,1,item_000334,"Linear (0.5/0.5, min-max)",1.000000,11,1,4.036109,0.853356,1.000000,1.000000,"bm25,semantic",2
query_000002,best smartphones,2,item_000352,"Linear (0.5/0.5, min-max)",1.000000,15,2,4.036109,0.853356,1.000000,1.000000,"bm25,semantic",2
query_000002,best smartphones,3,item_000323,"Linear (0.5/0.5, min-max)",0.999441,10,3,4.036109,0.852432,1.000000,0.998881,"bm25,semantic",2
query_000002,best smartphones,4,item_000355,"Linear (0.5/0.5, min-max)",0.993455,16,4,4.036109,0.842536,1.000000,0.986910,"bm25,semantic",2
query_000002,best smartphones,5,item_000343,"Linear (0.5/0.5, min-max)",0.981349,12,5,4.036109,0.822522,1.000000,0.962698,"bm25,semantic",2
query_000002,best smartphones,6,item_000360,"Linear (0.5/0.5, min-max)",0.981349,17,6,4.036109,0.822522,1.000000,0.962698,"bm25,semantic",2
query_000002,best smartphones,7,item_000373,"Linear (0.5/0.5, min-max)",0.981349,19,7,4.036109,0.822522,1.000000,0.962698,"bm25,semantic",2
query_000002,best smartphones,8,item_000492,"Linear (0.5/0.5, min-max)",0.980035,22,8,4.036109,0.820350,1.000000,0.960071,"bm25,semantic",2
query_000002,best smartphones,9,item_000209,"Linear (0.5/0.5, min-max)",0.979779,4,11,4.036109,0.819926,1.000000,0.959558,"bm25,semantic",2
query_000002,best smartphones,10,item_000346,"Linear (0.5/0.5, min-max)",0.979779,14,12,4.036109,0.819926,1.000000,0.959558,"bm25,semantic",2
query_000002,best smartphones,11,item_000102,"Linear (0.5/0.5, min-max)",0.979550,2,13,4.036109,0.819547,1.000000,0.959100,"bm25,semantic",2
query_000002,best smartphones,12,item_000299,"Linear (0.5/0.5, min-max)",0.979550,8,14,4.036109,0.819547,1.000000,0.959100,"bm25,semantic",2
query_000002,best smartphones,13,item_000310,"Linear (0.5/0.5, min-max)",0.979550,9,15,4.036109,0.819547,1.000000,0.959100,"bm25,semantic",2
query_000002,best smartphones,14,item_000344,"Linear (0.5/0.5, min-max)",0.976547,13,16,4.036109,0.814583,1.000000,0.953094,"bm25,semantic",2
query_000002,best smartphones,15,item_000430,"Linear (0.5/0.5, min-max)",0.973219,21,18,4.036109,0.809081,1.000000,0.946438,"bm25,semantic",2
query_000002,best smartphones,16,item_000020,"Linear (0.5/0.5, min-max)",0.970182,1,21,4.036109,0.804060,1.000000,0.940364,"bm25,semantic",2
query_000002,best smartphones,17,item_000112,"Linear (0.5/0.5, min-max)",0.970182,3,22,4.036109,0.804060,1.000000,0.940364,"bm25,semantic",2
query_000002,best smartphones,18,item_000223,"Linear (0.5/0.5, min-max)",0.970182,6,23,4.036109,0.804060,1.000000,0.940364,"bm25,semantic",2
query_000002,best smartphones,19,item_000275,"Linear (0.5/0.5, min-max)",0.970173,7,24,4.036109,0.804046,1.000000,0.940347,"bm25,semantic",2
query_000002,best smartphones,20,item_000362,"Linear (0.5/0.5, min-max)",0.970173,18,25,4.036109,0.804046,1.000000,0.940347,"bm25,semantic",2
query_000003,PureComfort Activewear,1,item_000326,"Linear (0.5/0.5, min-max)",0.500000,,1,,0.707941,,1.000000,semantic,1
query_000003,PureComfort Activewear,2,item_000250,"Linear (0.5/0.5, min-max)",0.457017,,2,,0.684913,,0.914035,semantic,1
query_000003,PureComfort Activewear,3,item_000330,"Linear (0.5/0.5, min-max)",0.457017,,3,,0.684913,,0.914035,semantic,1
query_000003,PureComfort Activewear,4,item_000396,"Linear (0.5/0.5, min-max)",0.454619,,4,,0.683628,,0.909238,semantic,1
query_000003,PureComfort Activewear,5,item_000467,"Linear (0.5/0.5, min-max)",0.454619,,5,,0.683628,,0.909238,semantic,1
query_000003,PureComfort Activewear,6,item_000364,"Linear (0.5/0.5, min-max)",0.432710,,6,,0.671891,,0.865419,semantic,1
query_000003,PureComfort Activewear,7,item_000413,"Linear (0.5/0.5, min-max)",0.427998,,7,,0.669367,,0.855996,semantic,1
query_000003,PureComfort Activewear,8,item_000490,"Linear (0.5/0.5, min-max)",0.423397,,8,,0.666902,,0.846793,semantic,1
query_000003,PureComfort Activewear,9,item_000016,"Linear (0.5/0.5, min-max)",0.421028,,9,,0.665633,,0.842057,semantic,1
query_000003,PureComfort Activewear,10,item_000169,"Linear (0.5/0.5, min-max)",0.410796,,10,,0.660151,,0.821592,semantic,1
query_000003,PureComfort Activewear,11,item_000312,"Linear (0.5/0.5, min-max)",0.410796,,11,,0.660151,,0.821592,semantic,1
query_000003,PureComfort Activewear,12,item_000149,"Linear (0.5/0.5, min-max)",0.404232,,12,,0.656635,,0.808465,semantic,1
query_000003,PureComfort Activewear,13,item_000063,"Linear (0.5/0.5, min-max)",0.366335,,13,,0.636332,,0.732670,semantic,1
query_000003,PureComfort Activewear,14,item_000292,"Linear (0.5/0.5, min-max)",0.366078,,14,,0.636194,,0.732155,semantic,1
query_000003,PureComfort Activewear,15,item_000281,"Linear (0.5/0.5, min-max)",0.359187,,15,,0.632502,,0.718374,semantic,1
query_000003,PureComfort Activewear,16,item_000206,"Linear (0.5/0.5, min-max)",0.355949,,16,,0.630768,,0.711898,semantic,1
query_000003,PureComfort Activewear,17,item_000384,"Linear (0.5/0.5, min-max)",0.351435,,17,,0.628349,,0.702869,semantic,1
query_000003,PureComfort Activewear,18,item_000161,"Linear (0.5/0.5, min-max)",0.347562,,18,,0.626274,,0.695123,semantic,1
query_000003,PureComfort Activewear,19,item_000498,"Linear (0.5/0.5, min-max)",0.347562,,19,,0.626274,,0.695123,semantic,1
query_000003,PureComfort Activewear,20,item_000080,"Linear (0.5/0.5, min-max)",0.346479,,20,,0.625694,,0.692957,semantic,1
query_000004,BrainBoost Outdoor Toys,1,item_000448,"Linear (0.5/0.5, min-max)",1.000000,9,1,8.175453,0.834048,1.000000,1.000000,"bm25,semantic",3
query_000004,BrainBoost Outdoor Toys,2,item_000163,"Linear (0.5/0.5, min-max)",0.999802,4,2,8.175453,0.833775,1.000000,0.999603,"bm25,semantic",3
query_000004,BrainBoost Outdoor Toys,3,item_000390,"Linear (0.5/0.5, min-max)",0.999802,7,3,8.175453,0.833775,1.000000,0.999603,"bm25,semantic",3
query_000004,BrainBoost Outdoor Toys,4,item_000028,"Linear (0.5/0.5, min-max)",0.994923,1,4,8.175453,0.827069,1.000000,0.989846,"bm25,semantic",3
query_000004,BrainBoost Outdoor Toys,5,item_000120,"Linear (0.5/0.5, min-max)",0.994757,2,5,8.175453,0.826841,1.000000,0.989515,"bm25,semantic",3
query_000004,BrainBoost Outdoor Toys,6,item_000141,"Linear (0.5/0.5, min-max)",0.986841,3,11,8.175453,0.815959,1.000000,0.973682,"bm25,semantic",3
