query_id,query_text,rank,item_id,fusion_method,fusion_score,bm25_rank,semantic_rank,bm25_score,semantic_score,bm25_normalized_score,semantic_normalized_score,sources,relevance_grade
query_000001,NeonFit women's dresses review,1,item_000250,RRF (k=60),0.031099,8,1,12.659110,0.895494,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,2,item_000149,RRF (k=60),0.030536,5,6,12.659110,0.877391,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,3,item_000206,RRF (k=60),0.030536,6,5,12.659110,0.879241,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,4,item_000099,RRF (k=60),0.030366,3,9,12.659110,0.863744,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,5,item_000107,RRF (k=60),0.029911,4,10,12.659110,0.863744,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,6,item_000292,RRF (k=60),0.029762,12,3,12.659110,0.887710,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,7,item_000281,RRF (k=60),0.029710,11,4,12.659110,0.881304,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,8,item_000080,RRF (k=60),0.029643,2,14,12.659110,0.860902,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,9,item_000330,RRF (k=60),0.029643,14,2,12.659110,0.895494,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,10,item_000225,RRF (k=60),0.029010,7,11,12.659110,0.863744,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,11,item_000063,RRF (k=60),0.027263,1,32,12.659110,0.845567,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,12,item_000016,RRF (k=60),0.027120,22,7,12.588110,0.875208,,,"bm25,semantic",3
query_000001,NeonFit women's dresses review,13,item_000388,RRF (k=60),0.027047,16,12,12.659110,0.863744,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,14,item_000254,RRF (k=60),0.026993,9,20,12.659110,0.853581,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,15,item_000263,RRF (k=60),0.026481,10,22,12.659110,0.851727,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,16,item_000433,RRF (k=60),0.026357,19,13,12.659110,0.863744,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,17,item_000396,RRF (k=60),0.025808,17,18,12.659110,0.853752,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,18,item_000369,RRF (k=60),0.025695,31,8,12.588110,0.865894,,,"bm25,semantic",3
query_000001,NeonFit women's dresses review,19,item_000378,RRF (k=60),0.025382,15,23,12.659110,0.851727,,,"bm25,semantic",2
query_000001,NeonFit women's dresses review,20,item_000412,RRF (k=60),0.025166,18,21,12.659110,0.853581,,,"bm25,semantic",2
query_000002,best smartphones,1,item_000334,RRF (k=60),0.030478,11,1,4.036109,0.853356,,,"bm25,semantic",2
query_000002,best smartphones,2,item_000323,RRF (k=60),0.030159,10,3,4.036109,0.852432,,,"bm25,semantic",2
query_000002,best smartphones,3,item_000102,RRF (k=60),0.029828,2,13,4.036109,0.819547,,,"bm25,semantic",2
query_000002,best smartphones,4,item_000209,RRF (k=60),0.029710,4,11,4.036109,0.819926,,,"bm25,semantic",2
query_000002,best smartphones,5,item_000352,RRF (k=60),0.029462,15,2,4.036109,0.853356,,,"bm25,semantic",2
query_000002,best smartphones,6,item_000343,RRF (k=60),0.029274,12,5,4.036109,0.822522,,,"bm25,semantic",2
query_000002,best smartphones,7,item_000355,RRF (k=60),0.028783,16,4,4.036109,0.842536,,,"bm25,semantic",2
query_000002,best smartphones,8,item_000020,RRF (k=60),0.028739,1,21,4.036109,0.804060,,,"bm25,semantic",2
query_000002,best smartphones,9,item_000299,RRF (k=60),0.028219,8,14,4.036109,0.819547,,,"bm25,semantic",2
query_000002,best smartphones,10,item_000360,RRF (k=60),0.028139,17,6,4.036109,0.822522,,,"bm25,semantic",2
query_000002,best smartphones,11,item_000112,RRF (k=60),0.028068,3,22,4.036109,0.804060,,,"bm25,semantic",2
query_000002,best smartphones,12,item_000310,RRF (k=60),0.027826,9,15,4.036109,0.819547,,,"bm25,semantic",2
