request_id,user_id,query_id,profile_status,has_positive_behavior,positive_candidate_coverage,baseline_behavior_ndcg_at_5,personalized_behavior_ndcg_at_5,behavior_ndcg_at_5_delta,baseline_qrels_ndcg_at_5,personalized_qrels_ndcg_at_5,qrels_ndcg_at_5_delta,baseline_behavior_ndcg_at_10,personalized_behavior_ndcg_at_10,behavior_ndcg_at_10_delta,baseline_qrels_ndcg_at_10,personalized_qrels_ndcg_at_10,qrels_ndcg_at_10_delta,baseline_behavior_ndcg_at_20,personalized_behavior_ndcg_at_20,behavior_ndcg_at_20_delta,baseline_qrels_ndcg_at_20,personalized_qrels_ndcg_at_20,qrels_ndcg_at_20_delta
req_000026,user_000023,query_000041,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000029,user_000100,query_000136,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000036,user_000004,query_000120,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000038,user_000064,query_000152,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000043,user_000016,query_000098,warm,true,0.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.000000,0.000000,0.000000,0.650180,0.650180,0.000000,0.000000,0.000000,0.000000,0.546168,0.546168,0.000000
req_000056,user_000034,query_000087,warm,true,1.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.315465,0.301030,-0.014435,0.694356,0.694356,0.000000,0.315465,0.301030,-0.014435,0.778768,0.778768,0.000000
req_000062,user_000042,query_000160,warm,true,0.000000,0.000000,0.000000,0.000000,0.048689,0.071329,0.022639,0.000000,0.000000,0.000000,0.031596,0.176162,0.144566,0.000000,0.000000,0.000000,0.127008,0.152074,0.025067
req_000065,user_000013,query_000073,warm,true,0.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.000000,0.000000,0.000000,0.694356,0.694356,0.000000,0.000000,0.000000,0.000000,0.675422,0.675422,0.000000
req_000072,user_000056,query_000069,warm,true,1.000000,0.430677,0.430677,0.000000,1.000000,1.000000,0.000000,0.430677,0.430677,0.000000,1.000000,1.000000,0.000000,0.430677,0.430677,0.000000,1.000000,1.000000,0.000000
req_000076,user_000054,query_000018,warm,true,0.500000,0.000000,0.000000,0.000000,0.428571,0.428571,0.000000,0.193426,0.193426,0.000000,0.428571,0.428571,0.000000,0.193426,0.193426,0.000000,0.436640,0.436640,0.000000
req_000101,user_000068,query_000031,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000128,user_000033,query_000022,warm,true,0.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.000000,0.000000,0.000000,0.600142,0.648352,0.048210,0.000000,0.000000,0.000000,0.546439,0.550479,0.004040
req_000129,user_000099,query_000140,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000130,user_000065,query_000020,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000131,user_000060,query_000152,warm,true,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000
req_000133,user_000056,query_000063,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023144,0.023144,0.000000,0.000000,0.000000,0.000000,0.015988,0.015988,0.000000
req_000152,user_000037,query_000153,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000153,user_000066,query_000191,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000155,user_000046,query_000042,warm,true,0.000000,0.000000,0.000000,0.000000,0.595834,0.595834,0.000000,0.000000,0.000000,0.000000,0.694356,0.694356,0.000000,0.000000,0.000000,0.000000,0.778768,0.778768,0.000000
req_000164,user_000095,query_000180,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.048210,0.048210,0.000000,0.000000,0.000000,0.000000,0.034896,0.034896,0.000000
req_000165,user_000096,query_000021,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
req_000175,user_000098,query_000057,warm,true,0.000000,0.000000,0.000000,0.000000,0.127500,0.127500,0.000000,0.000000,0.000000,0.000000,0.142424,0.195032,0.052608,0.000000,0.000000,0.000000,0.184333,0.201917,0.017584
req_000196,user_000084,query_000136,warm,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
