query_id,query_text,rank,item_id,semantic_score,relevance_grade
query_000001,NeonFit women's dresses review,1,item_000250,0.895494,2
query_000001,NeonFit women's dresses review,2,item_000330,0.895494,2
query_000001,NeonFit women's dresses review,3,item_000292,0.887710,2
query_000001,NeonFit women's dresses review,4,item_000281,0.881304,2
query_000001,NeonFit women's dresses review,5,item_000206,0.879241,2
query_000001,NeonFit women's dresses review,6,item_000149,0.877391,2
query_000001,NeonFit women's dresses review,7,item_000016,0.875208,3
query_000001,NeonFit women's dresses review,8,item_000369,0.865894,3
query_000001,NeonFit women's dresses review,9,item_000099,0.863744,2
query_000001,NeonFit women's dresses review,10,item_000107,0.863744,2
query_000001,NeonFit women's dresses review,11,item_000225,0.863744,2
query_000001,NeonFit women's dresses review,12,item_000388,0.863744,2
query_000001,NeonFit women's dresses review,13,item_000433,0.863744,2
query_000001,NeonFit women's dresses review,14,item_000080,0.860902,2
query_000001,NeonFit women's dresses review,15,item_000198,0.858307,3
query_000001,NeonFit women's dresses review,16,item_000169,0.857960,3
query_000001,NeonFit women's dresses review,17,item_000312,0.857960,3
query_000001,NeonFit women's dresses review,18,item_000396,0.853752,2
query_000001,NeonFit women's dresses review,19,item_000467,0.853752,2
query_000001,NeonFit women's dresses review,20,item_000254,0.853581,2
query_000002,best smartphones,1,item_000334,0.853356,2
query_000002,best smartphones,2,item_000352,0.853356,2
query_000002,best smartphones,3,item_000323,0.852432,2
query_000002,best smartphones,4,item_000355,0.842536,2
query_000002,best smartphones,5,item_000343,0.822522,2
query_000002,best smartphones,6,item_000360,0.822522,2
query_000002,best smartphones,7,item_000373,0.822522,2
query_000002,best smartphones,8,item_000492,0.820350,2
query_000002,best smartphones,9,item_000093,0.820140,2
query_000002,best smartphones,10,item_000419,0.820032,2
query_000002,best smartphones,11,item_000209,0.819926,2
query_000002,best smartphones,12,item_000346,0.819926,2
query_000002,best smartphones,13,item_000102,0.819547,2
query_000002,best smartphones,14,item_000299,0.819547,2
query_000002,best smartphones,15,item_000310,0.819547,2
query_000002,best smartphones,16,item_000344,0.814583,2
query_000002,best smartphones,17,item_000005,0.809298,2
query_000002,best smartphones,18,item_000430,0.809081,2
query_000002,best smartphones,19,item_000240,0.805430,2
query_000002,best smartphones,20,item_000320,0.805430,2
query_000003,PureComfort Activewear,1,item_000326,0.707941,1
